soc,name,group,employment,projected,growth,change,exits,transfers,annualChange,openings,education,wage,onet,geography,employment_base_year,projection_year,wage_year,retrieved,source_url
27-2042,Musicians and Singers,Arts & media,1386.0,1476.0,6.49,90.0,88.0,73.0,9.0,170.0,No formal educational credential,,27-2042.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-3011,Broadcast Announcers and Radio Disc Jockeys,Arts & media,331.0,314.0,-5.14,-17.0,16.0,18.0,-2.0,32.0,Bachelor's degree,98750.0,27-3011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-3023,"News Analysts, Reporters, and Journalists",Arts & media,1379.0,1440.0,4.42,61.0,58.0,69.0,6.0,133.0,Bachelor's degree,,27-3023.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-3031,Public Relations Specialists,Arts & media,8155.0,8459.0,3.73,304.0,231.0,438.0,30.0,699.0,Bachelor's degree,90400.0,27-3031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-3041,Editors,Arts & media,3641.0,3790.0,4.09,149.0,132.0,179.0,15.0,326.0,Bachelor's degree,89740.0,27-3041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-3042,Technical Writers,Arts & media,1727.0,1702.0,-1.45,-25.0,56.0,78.0,-2.0,132.0,Bachelor's degree,114610.0,27-3042.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-3043,Writers and Authors,Arts & media,3341.0,3431.0,2.69,90.0,160.0,158.0,9.0,327.0,Bachelor's degree,94580.0,27-3043.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-3091,Interpreters and Translators,Arts & media,3138.0,3159.0,0.67,21.0,156.0,126.0,2.0,284.0,Bachelor's degree,79140.0,27-3091.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-4011,Audio and Video Technicians,Arts & media,1477.0,1529.0,3.52,52.0,35.0,78.0,5.0,118.0,Postsecondary non-degree award,,27-4011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-4012,Broadcast Technicians,Arts & media,608.0,588.0,-3.29,-20.0,14.0,31.0,-2.0,43.0,Associate's degree,56340.0,27-4012.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-4014,Sound Engineering Technicians,Arts & media,195.0,189.0,-3.08,-6.0,4.0,10.0,-1.0,13.0,Postsecondary non-degree award,82510.0,27-4014.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-4015,Lighting Technicians,Arts & media,131.0,126.0,-3.82,-5.0,3.0,7.0,0.0,10.0,Postsecondary non-degree award,65850.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-4021,Photographers,Arts & media,3442.0,3372.0,-2.03,-70.0,110.0,166.0,-7.0,269.0,High school diploma or equivalent,71300.0,27-4021.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-4031,"Camera Operators, Television, Video, and Film",Arts & media,615.0,606.0,-1.46,-9.0,14.0,33.0,-1.0,46.0,Bachelor's degree,79290.0,27-4031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
27-4032,Film and Video Editors,Arts & media,630.0,622.0,-1.27,-8.0,14.0,34.0,-1.0,47.0,Bachelor's degree,95530.0,27-4032.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1011,Chiropractors,Healthcare practitioners,1186.0,1235.0,4.13,49.0,36.0,8.0,5.0,49.0,Doctoral or professional degree,93800.0,29-1011.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1031,Dietitians and Nutritionists,Healthcare practitioners,2728.0,2839.0,4.07,111.0,93.0,78.0,11.0,182.0,Bachelor's degree,82390.0,29-1031.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1041,Optometrists,Healthcare practitioners,1256.0,1301.0,3.58,45.0,46.0,5.0,4.0,55.0,Doctoral or professional degree,152550.0,29-1041.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1051,Pharmacists,Healthcare practitioners,8058.0,8422.0,4.52,364.0,194.0,109.0,36.0,339.0,Doctoral or professional degree,138660.0,29-1051.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1071,Physician Assistants,Healthcare practitioners,4443.0,5250.0,18.16,807.0,97.0,138.0,81.0,316.0,Master's degree,146480.0,29-1071.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1081,Podiatrists,Healthcare practitioners,168.0,166.0,-1.19,-2.0,4.0,1.0,0.0,5.0,Doctoral or professional degree,217080.0,29-1081.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1122,Occupational Therapists,Healthcare practitioners,6386.0,7126.0,11.59,740.0,152.0,164.0,74.0,390.0,Master's degree,99730.0,29-1122.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1123,Physical Therapists,Healthcare practitioners,6954.0,7463.0,7.32,509.0,153.0,110.0,51.0,314.0,Doctoral or professional degree,106900.0,29-1123.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1124,Radiation Therapists,Healthcare practitioners,307.0,306.0,-0.33,-1.0,7.0,6.0,0.0,13.0,Associate's degree,112170.0,29-1124.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1125,Recreational Therapists,Healthcare practitioners,260.0,268.0,3.08,8.0,10.0,11.0,1.0,22.0,Bachelor's degree,66680.0,29-1125.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1126,Respiratory Therapists,Healthcare practitioners,2215.0,2446.0,10.43,231.0,64.0,49.0,23.0,136.0,Associate's degree,100580.0,29-1126.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1127,Speech-Language Pathologists,Healthcare practitioners,5101.0,5826.0,14.21,725.0,140.0,144.0,72.0,356.0,Master's degree,101890.0,29-1127.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1128,Exercise Physiologists,Healthcare practitioners,435.0,461.0,5.98,26.0,14.0,12.0,3.0,29.0,Bachelor's degree,72210.0,29-1128.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1129,"Therapists, All Other",Healthcare practitioners,450.0,485.0,7.78,35.0,14.0,13.0,4.0,31.0,Bachelor's degree,72570.0,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1131,Veterinarians,Healthcare practitioners,1931.0,1991.0,3.11,60.0,30.0,17.0,6.0,53.0,Doctoral or professional degree,157520.0,29-1131.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1141,Registered Nurses,Healthcare practitioners,91850.0,94854.0,3.27,3004.0,2631.0,2003.0,300.0,4934.0,Bachelor's degree,117960.0,29-1141.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1151,Nurse Anesthetists,Healthcare practitioners,646.0,680.0,5.26,34.0,15.0,12.0,3.0,30.0,Master's degree,303310.0,29-1151.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1161,Nurse Midwives,Healthcare practitioners,193.0,204.0,5.7,11.0,4.0,4.0,1.0,9.0,Master's degree,162420.0,29-1161.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1171,Nurse Practitioners,Healthcare practitioners,9128.0,12328.0,35.06,3200.0,239.0,225.0,320.0,784.0,Master's degree,152320.0,29-1171.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1181,Audiologists,Healthcare practitioners,229.0,237.0,3.49,8.0,6.0,2.0,1.0,9.0,Doctoral or professional degree,100890.0,29-1181.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1211,Anesthesiologists,Healthcare practitioners,1634.0,1622.0,-0.73,-12.0,34.0,7.0,-1.0,40.0,Doctoral or professional degree,,29-1211.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1212,Cardiologists,Healthcare practitioners,704.0,704.0,0.0,0.0,15.0,3.0,0.0,18.0,Doctoral or professional degree,,,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1214,Emergency Medicine Physicians,Healthcare practitioners,788.0,787.0,-0.13,-1.0,16.0,3.0,0.0,19.0,Doctoral or professional degree,370880.0,29-1214.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1215,Family Medicine Physicians,Healthcare practitioners,3772.0,3753.0,-0.5,-19.0,79.0,16.0,-2.0,93.0,Doctoral or professional degree,271340.0,29-1215.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1216,General Internal Medicine Physicians,Healthcare practitioners,2119.0,2108.0,-0.52,-11.0,44.0,9.0,-1.0,52.0,Doctoral or professional degree,253080.0,29-1216.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
29-1217,Neurologists,Healthcare practitioners,310.0,318.0,2.58,8.0,7.0,1.0,1.0,9.0,Doctoral or professional degree,,29-1217.00,Massachusetts,2024,2034,2025,2026-09-22,https://lmi.dua.eol.mass.gov/lmi/LongTermOccupationProjections/LTOPResultAll?A=01&GA=000025&Cmd=Go&Type=long&Dopt=CSV
